2016/2017,1,GENERAL,1
2016/2017,10360,ELEM SCHOOLS,0.054414
2016/2017,10829,COUNTY,0
2016/2017,11162,ELEM SCHOOLS,0.042351
2016/2017,11546,COMMNTY COLLEGE,0.023996
2016/2017,12015,COMMNTY COLLEGE,0.028083
2016/2017,1242,GENERAL,1
2016/2017,128,METRO WATER DIST,0.0035
2016/2017,13232,GENERAL,1
2016/2017,13512,COUNTY,0
2016/2017,13803,GENERAL,1
2016/2017,14105,ELEM SCHOOLS,0.06642
2016/2017,14374,ELEM SCHOOLS,0.038188
2016/2017,14637,COMMNTY COLLEGE,0.023996
2016/2017,14904,CITY-LANCASTER,0
2016/2017,15175,GENERAL,1
2016/2017,15422,COMMNTY COLLEGE,0.035956
2016/2017,15704,COUNTY,0
2016/2017,15956,HIGH SCHOOLS,0.049506
2016/2017,16195,COUNTY,0
2016/2017,16453,COUNTY,0
2016/2017,1795,CITY EL MONTE,0.15
2016/2017,2047,COUNTY,0
2016/2017,2319,COMMNTY COLLEGE,0.035956
2016/2017,26,GENERAL,1
2016/2017,2824,CITY COMPTON TD,0.451632
2016/2017,3020,CITY-COVINA,0
2016/2017,3239,GENERAL,1
2016/2017,3460,GENERAL,1
2016/2017,3655,HIGH SCHOOLS,0.084688
2016/2017,3931,ELEM SCHOOLS,0.088735
2016/2017,4173,CITY-GLENDORA,0
2016/2017,4416,COUNTY,0
2016/2017,4703,HIGH SCHOOLS,0.024737
2016/2017,5000,METRO WATER DIST,0.0035
2016/2017,5266,COUNTY,0
2016/2017,5517,UNIFIED SCHOOLS,0.085392
2016/2017,574,GENERAL,1
2016/2017,5947,COUNTY,0
2016/2017,6196,COUNTY,0
2016/2017,6393,COMMNTY COLLEGE,0.025602
2016/2017,6606,COMMNTY COLLEGE,0.027579
2016/2017,6812,GENERAL,1
2016/2017,6965,HIGH SCHOOLS,0.024737
2016/2017,7134,COUNTY,0
2016/2017,7353,COMMNTY COLLEGE,0.021936
2016/2017,7540,COUNTY,0
2016/2017,7714,COUNTY,0
2016/2017,7855,COUNTY,0
2016/2017,8016,COMMNTY COLLEGE,0.023996
2016/2017,8180,COUNTY,0
2016/2017,8298,GENERAL,1
2016/2017,8419,COUNTY,0
2016/2017,8539,CITY-WALNUT,0
2016/2017,8652,COMMNTY COLLEGE,0.058862
2016/2017,9147,GENERAL,1
2016/2017,9147,HIGH SCHOOLS,0.049506
2016/2017,9147,SPECIAL WATER,0.0706
2016/2017,9148,COMMNTY COLLEGE,0.027579
2016/2017,9148,COUNTY,0
2016/2017,9148,ELEM SCHOOLS,0.028643
2016/2017,9148,GENERAL,1
2016/2017,9148,HIGH SCHOOLS,0.049506
2016/2017,9149,COMMNTY COLLEGE,0.027579
2016/2017,9149,COUNTY,0
2016/2017,9149,ELEM SCHOOLS,0.028643
2016/2017,9149,GENERAL,1
2016/2017,9149,HIGH SCHOOLS,0.049506
2016/2017,9149,SPECIAL WATER,0.0706
2016/2017,9150,COMMNTY COLLEGE,0.027579
2016/2017,9150,COUNTY,0
2016/2017,9150,ELEM SCHOOLS,0.028643
2016/2017,9150,GENERAL,1
2016/2017,9150,HIGH SCHOOLS,0.049506
2016/2017,9151,COMMNTY COLLEGE,0.027579
2016/2017,9151,COUNTY,0
2016/2017,9151,ELEM SCHOOLS,0.028643
2016/2017,9151,GENERAL,1
2016/2017,9151,HIGH SCHOOLS,0.049506
2016/2017,9151,SPECIAL WATER,0.0706
2016/2017,9153,COMMNTY COLLEGE,0.027579
2016/2017,9153,COUNTY,0
2016/2017,9153,ELEM SCHOOLS,0.028643
2016/2017,9153,GENERAL,1
2016/2017,9153,HIGH SCHOOLS,0.049506
2016/2017,9154,COMMNTY COLLEGE,0.027579
2016/2017,9154,COUNTY,0
2016/2017,9154,ELEM SCHOOLS,0.028643
2016/2017,9154,GENERAL,1
2016/2017,9154,HIGH SCHOOLS,0.049506
2016/2017,9154,SPECIAL WATER,0.0706
2016/2017,9155,COMMNTY COLLEGE,0.027579
2016/2017,9155,COUNTY,0
2016/2017,9155,ELEM SCHOOLS,0.028643
2016/2017,9155,GENERAL,1
2016/2017,9155,HIGH SCHOOLS,0.049506
2016/2017,9155,SPECIAL WATER,0.0706
2016/2017,9157,COMMNTY COLLEGE,0.027579
2016/2017,9157,COUNTY,0
2016/2017,9157,ELEM SCHOOLS,0.028643
2016/2017,9157,GENERAL,1
2016/2017,9157,HIGH SCHOOLS,0.049506
2016/2017,9157,SPECIAL WATER,0.0706
2016/2017,9158,COMMNTY COLLEGE,0.027579
2016/2017,9158,COUNTY,0
2016/2017,9158,ELEM SCHOOLS,0.028643
2016/2017,9158,GENERAL,1
2016/2017,9158,HIGH SCHOOLS,0.049506
2016/2017,9158,SPECIAL WATER,0.0706
2016/2017,9159,COMMNTY COLLEGE,0.027579
2016/2017,9159,COUNTY,0
2016/2017,9159,ELEM SCHOOLS,0.028643
2016/2017,9159,GENERAL,1
2016/2017,9159,HIGH SCHOOLS,0.049506
2016/2017,9159,SPECIAL WATER,0.0706
2016/2017,916,CITY-DOWNEY,0
2016/2017,916,COMMNTY COLLEGE,0.035956
2016/2017,916,COUNTY,0
2016/2017,916,GENERAL,1
2016/2017,916,METRO WATER DIST,0.0035
2016/2017,916,UNIFIED SCHOOLS,0.131096
2016/2017,9160,CITY-SANTA CLARI,0
2016/2017,9160,COMMNTY COLLEGE,0.027579
2016/2017,9160,COUNTY,0
2016/2017,9160,ELEM SCHOOLS,0.028643
2016/2017,9160,GENERAL,1
2016/2017,9160,HIGH SCHOOLS,0.049506
2016/2017,9160,SPECIAL WATER,0.0706
2016/2017,9161,COMMNTY COLLEGE,0.027579
2016/2017,9161,COUNTY,0
2016/2017,9161,ELEM SCHOOLS,0.028643
2016/2017,9161,GENERAL,1
2016/2017,9161,HIGH SCHOOLS,0.049506
2016/2017,9163,CITY-PALMDALE,0
2016/2017,9163,COMMNTY COLLEGE,0.025602
2016/2017,9163,COUNTY,0
2016/2017,9163,ELEM SCHOOLS,0.038188
2016/2017,9163,GENERAL,1
2016/2017,9163,HIGH SCHOOLS,0.024737
2016/2017,9163,WATER DISTRICT,0.277262
2016/2017,917,CITY-DOWNEY,0
2016/2017,917,COMMNTY COLLEGE,0.035956
2016/2017,917,COUNTY,0
2016/2017,917,GENERAL,1
2016/2017,917,METRO WATER DIST,0.0035
2016/2017,917,UNIFIED SCHOOLS,0.131096
2016/2017,9171,CITY-SANTA FE SP,0
2016/2017,9171,COMMNTY COLLEGE,0.028083
2016/2017,9171,COUNTY,0
2016/2017,9171,ELEM SCHOOLS,0.065625
2016/2017,9171,GENERAL,1
2016/2017,9171,HIGH SCHOOLS,0.060354
2016/2017,9171,METRO WATER DIST,0.0035
2016/2017,9173,COMMNTY COLLEGE,0.027579
2016/2017,9173,COUNTY,0
2016/2017,9173,ELEM SCHOOLS,0.028643
2016/2017,9173,GENERAL,1
2016/2017,9173,HIGH SCHOOLS,0.049506
2016/2017,9175,CITY-WALNUT,0
2016/2017,9175,COMMNTY COLLEGE,0.023996
2016/2017,9175,COUNTY,0
2016/2017,9175,GENERAL,1
2016/2017,9175,METRO WATER DIST,0.0035
2016/2017,9175,UNIFIED SCHOOLS,0.066007
2016/2017,9177,CITY-WALNUT,0
2016/2017,9177,COMMNTY COLLEGE,0.023996
2016/2017,9177,COUNTY,0
2016/2017,9177,GENERAL,1
2016/2017,9177,METRO WATER DIST,0.0035
2016/2017,9177,UNIFIED SCHOOLS,0.066007
2016/2017,9178,CITY PALMDALE,0
2016/2017,9178,COMMNTY COLLEGE,0.025602
2016/2017,9178,COUNTY,0
2016/2017,9178,ELEM SCHOOLS,0.038188
2016/2017,9178,GENERAL,1
2016/2017,9178,HIGH SCHOOLS,0.024737
2016/2017,9178,SPECIAL WATER,0.07049
2016/2017,9179,ARCADIA-2011 G.O,0.006817
2016/2017,9179,COMMNTY COLLEGE,0.00885
2016/2017,9179,COUNTY,0
2016/2017,9179,GENERAL,1
2016/2017,9179,METRO WATER DIST,0.0035
2016/2017,9179,UNIFIED SCHOOLS,0.077876
2016/2017,918,CITY-SANTA CLARI,0
2016/2017,918,COMMNTY COLLEGE,0.027579
2016/2017,918,COUNTY,0
2016/2017,918,ELEM SCHOOLS,0.06642
2016/2017,918,GENERAL,1
2016/2017,918,HIGH SCHOOLS,0.049506
2016/2017,918,SPECIAL WATER,0.0706
2016/2017,9180,ARCADIA-2011 G.O,0.006817
2016/2017,9180,COMMNTY COLLEGE,0.00885
2016/2017,9180,COUNTY,0
2016/2017,9180,GENERAL,1
2016/2017,9180,METRO WATER DIST,0.0035
2016/2017,9180,UNIFIED SCHOOLS,0.077876
2016/2017,9182,ARCADIA-2011 G.O,0.006817
2016/2017,9182,COMMNTY COLLEGE,0.00885
2016/2017,9182,COUNTY,0
2016/2017,9182,GENERAL,1
2016/2017,9182,METRO WATER DIST,0.0035
2016/2017,9182,UNIFIED SCHOOLS,0.077876
2016/2017,9183,COMMNTY COLLEGE,0.028083
2016/2017,9183,COUNTY,0
2016/2017,9183,GENERAL,1
2016/2017,9183,HIGH SCHOOLS,0.084688
2016/2017,9183,METRO WATER DIST,0.0035
2016/2017,9185,ARCADIA-2011 G.O,0.006817
2016/2017,9185,COMMNTY COLLEGE,0.00885
2016/2017,9185,COUNTY,0
2016/2017,9185,GENERAL,1
2016/2017,9185,METRO WATER DIST,0.0035
2016/2017,9185,UNIFIED SCHOOLS,0.077876
2016/2017,9186,ARCADIA-2011 G.O,0.006817
2016/2017,9186,COMMNTY COLLEGE,0.028083
2016/2017,9186,COUNTY,0
2016/2017,9186,ELEM SCHOOLS,0.146822
2016/2017,9186,GENERAL,1
2016/2017,9186,HIGH SCHOOLS,0.084688
2016/2017,9186,METRO WATER DIST,0.0035
2016/2017,9187,ARCADIA-2011 G.O,0.006817
2016/2017,9187,COMMNTY COLLEGE,0.028083
2016/2017,9187,COUNTY,0
2016/2017,9187,ELEM SCHOOLS,0.146822
2016/2017,9187,GENERAL,1
2016/2017,9187,HIGH SCHOOLS,0.084688
2016/2017,9187,METRO WATER DIST,0.0035
2016/2017,9188,CITY-MONTEREY PK,0.091175
2016/2017,9188,COMMNTY COLLEGE,0.035956
2016/2017,9188,COUNTY,0
2016/2017,9188,GENERAL,1
2016/2017,9188,METRO WATER DIST,0.0035
2016/2017,9188,UNIFIED SCHOOLS,0.147047
2016/2017,9189,ARCADIA-2011 G.O,0.006817
2016/2017,9189,COMMNTY COLLEGE,0.028083
2016/2017,9189,COUNTY,0
2016/2017,9189,ELEM SCHOOLS,0.146822
2016/2017,9189,GENERAL,1
2016/2017,9189,HIGH SCHOOLS,0.084688
2016/2017,9189,METRO WATER DIST,0.0035
2016/2017,9190,ARCADIA-2011 G.O,0.006817
2016/2017,9190,COMMNTY COLLEGE,0.00885
2016/2017,9190,COUNTY,0
2016/2017,9190,GENERAL,1
2016/2017,9190,METRO WATER DIST,0.0035
2016/2017,9190,UNIFIED SCHOOLS,0.077876
2016/2017,9194,COMMNTY COLLEGE,0.027579
2016/2017,9194,COUNTY,0
2016/2017,9194,ELEM SCHOOLS,0.028643
2016/2017,9194,GENERAL,1
2016/2017,9194,HIGH SCHOOLS,0.049506
2016/2017,9194,SPECIAL WATER,0.0706
2016/2017,9195,COMMNTY COLLEGE,0.028083
2016/2017,9195,COUNTY,0
2016/2017,9195,ELEM SCHOOLS,0.065625
2016/2017,9195,GENERAL,1
2016/2017,9195,HIGH SCHOOLS,0.060354
2016/2017,9195,METRO WATER DIST,0.0035
2016/2017,9196,COMMNTY COLLEGE,0.028083
2016/2017,9196,COUNTY,0
2016/2017,9196,ELEM SCHOOLS,0.065625
2016/2017,9196,GENERAL,1
2016/2017,9196,HIGH SCHOOLS,0.060354
2016/2017,9196,METRO WATER DIST,0.0035
2016/2017,9197,COMMNTY COLLEGE,0.028083
2016/2017,9197,COUNTY,0
2016/2017,9197,ELEM SCHOOLS,0.065625
2016/2017,9197,GENERAL,1
2016/2017,9197,HIGH SCHOOLS,0.060354
2016/2017,9197,METRO WATER DIST,0.0035
2016/2017,92,CITY CARSON,0
2016/2017,92,COMMNTY COLLEGE,0.035956
2016/2017,92,COUNTY,0
2016/2017,92,GENERAL,1
2016/2017,92,METRO WATER DIST,0.0035
2016/2017,92,UNIFIED SCHOOLS,0.131096
2016/2017,9200,CITY-MONTEBELLO,0.197875
2016/2017,9200,COMMNTY COLLEGE,0.028083
2016/2017,9200,COUNTY,0
2016/2017,9200,GENERAL,1
2016/2017,9200,HIGH SCHOOLS,0.084688
2016/2017,9200,METRO WATER DIST,0.0035
2016/2017,9201,CITY-MONTEREY PK,0.091175
2016/2017,9201,COMMNTY COLLEGE,0.035956
2016/2017,9201,COUNTY,0
2016/2017,9201,GENERAL,1
2016/2017,9201,METRO WATER DIST,0.0035
2016/2017,9201,UNIFIED SCHOOLS,0.147047
2016/2017,9204,COMMNTY COLLEGE,0.028083
2016/2017,9204,COUNTY,0
2016/2017,9204,GENERAL,1
2016/2017,9204,HIGH SCHOOLS,0.084688
2016/2017,9204,METRO WATER DIST,0.0035
2016/2017,9205,CITY-PALMDALE,0
2016/2017,9205,COMMNTY COLLEGE,0.025602
2016/2017,9205,COUNTY,0
2016/2017,9205,ELEM SCHOOLS,0.079289
2016/2017,9205,GENERAL,1
2016/2017,9205,HIGH SCHOOLS,0.024737
2016/2017,9205,SPECIAL WATER,0.07049
2016/2017,9206,CITY-SO EL MONTE,0
2016/2017,9206,COMMNTY COLLEGE,0.028083
2016/2017,9206,COUNTY,0
2016/2017,9206,GENERAL,1
2016/2017,9206,HIGH SCHOOLS,0.084688
2016/2017,9206,METRO WATER DIST,0.0035
2016/2017,9207,CITY-SO EL MONTE,0
2016/2017,9207,COMMNTY COLLEGE,0.028083
2016/2017,9207,COUNTY,0
2016/2017,9207,GENERAL,1
2016/2017,9207,HIGH SCHOOLS,0.084688
2016/2017,9207,METRO WATER DIST,0.0035
2016/2017,9208,COMMNTY COLLEGE,0.028083
2016/2017,9208,COUNTY,0
2016/2017,9208,GENERAL,1
2016/2017,9208,HIGH SCHOOLS,0.084688
2016/2017,9208,METRO WATER DIST,0.0035
2016/2017,9209,CITY-SO EL MONTE,0
2016/2017,9209,COMMNTY COLLEGE,0.028083
2016/2017,9209,COUNTY,0
2016/2017,9209,GENERAL,1
2016/2017,9209,HIGH SCHOOLS,0.084688
2016/2017,9209,METRO WATER DIST,0.0035
2016/2017,9210,CITY-SO EL MONTE,0
2016/2017,9210,COMMNTY COLLEGE,0.028083
2016/2017,9210,COUNTY,0
2016/2017,9210,GENERAL,1
2016/2017,9210,HIGH SCHOOLS,0.084688
2016/2017,9210,METRO WATER DIST,0.0035
2016/2017,9211,COMMNTY COLLEGE,0.028083
2016/2017,9211,COUNTY,0
2016/2017,9211,ELEM SCHOOLS,0.065625
2016/2017,9211,GENERAL,1
2016/2017,9211,HIGH SCHOOLS,0.060354
2016/2017,9211,METRO WATER DIST,0.0035
2016/2017,9212,CITY-SO EL MONTE,0
2016/2017,9212,COMMNTY COLLEGE,0.028083
2016/2017,9212,COUNTY,0
2016/2017,9212,GENERAL,1
2016/2017,9212,HIGH SCHOOLS,0.084688
2016/2017,9212,METRO WATER DIST,0.0035
2016/2017,9213,COMMNTY COLLEGE,0.028083
2016/2017,9213,COUNTY,0
2016/2017,9213,GENERAL,1
2016/2017,9213,HIGH SCHOOLS,0.084688
2016/2017,9213,METRO WATER DIST,0.0035
2016/2017,9214,COMMNTY COLLEGE,0.028083
2016/2017,9214,COUNTY,0
2016/2017,9214,GENERAL,1
2016/2017,9214,HIGH SCHOOLS,0.084688
2016/2017,9214,METRO WATER DIST,0.0035
2016/2017,9215,CITY-MONTEBELLO,0.197875
2016/2017,9215,COMMNTY COLLEGE,0.028083
2016/2017,9215,COUNTY,0
2016/2017,9215,GENERAL,1
2016/2017,9215,HIGH SCHOOLS,0.084688
2016/2017,9215,METRO WATER DIST,0.0035
2016/2017,9216,CITY-STA FE SPR,0
2016/2017,9216,COMMNTY COLLEGE,0.028083
2016/2017,9216,COUNTY,0
2016/2017,9216,ELEM SCHOOLS,0.065625
2016/2017,9216,GENERAL,1
2016/2017,9216,HIGH SCHOOLS,0.060354
2016/2017,9216,METRO WATER DIST,0.0035
2016/2017,9217,CITY-STA FE SPR,0
2016/2017,9217,COMMNTY COLLEGE,0.028083
2016/2017,9217,COUNTY,0
2016/2017,9217,ELEM SCHOOLS,0.065625
2016/2017,9217,GENERAL,1
2016/2017,9217,HIGH SCHOOLS,0.060354
2016/2017,9217,METRO WATER DIST,0.0035
2016/2017,9218,CITY-STA FE SPR,0
2016/2017,9218,COMMNTY COLLEGE,0.028083
2016/2017,9218,COUNTY,0
2016/2017,9218,ELEM SCHOOLS,0.065625
2016/2017,9218,GENERAL,1
2016/2017,9218,HIGH SCHOOLS,0.060354
2016/2017,9218,METRO WATER DIST,0.0035
2016/2017,9219,CITY-SANTA FE SP,0
2016/2017,9219,COMMNTY COLLEGE,0.028083
2016/2017,9219,COUNTY,0
2016/2017,9219,ELEM SCHOOLS,0.065625
2016/2017,9219,GENERAL,1
2016/2017,9219,HIGH SCHOOLS,0.060354
2016/2017,9219,METRO WATER DIST,0.0035
2016/2017,922,CITY-SANTA CLARI,0
2016/2017,922,COMMNTY COLLEGE,0.027579
2016/2017,922,COUNTY,0
2016/2017,922,ELEM SCHOOLS,0.06642
2016/2017,922,GENERAL,1
2016/2017,922,HIGH SCHOOLS,0.049506
2016/2017,922,SPECIAL WATER,0.0706
2016/2017,9220,CITY-PICO RIVERA,0
2016/2017,9220,COMMNTY COLLEGE,0.028083
2016/2017,9220,COUNTY,0
2016/2017,9220,GENERAL,1
2016/2017,9220,HIGH SCHOOLS,0.084688
2016/2017,9220,METRO WATER DIST,0.0035
2016/2017,9221,CITY-SANTA FE SP,0
2016/2017,9221,COMMNTY COLLEGE,0.028083
2016/2017,9221,COUNTY,0
2016/2017,9221,ELEM SCHOOLS,0.065625
2016/2017,9221,GENERAL,1
2016/2017,9221,HIGH SCHOOLS,0.060354
2016/2017,9221,METRO WATER DIST,0.0035
2016/2017,9222,COMMNTY COLLEGE,0.028083
2016/2017,9222,COUNTY,0
2016/2017,9222,ELEM SCHOOLS,0.065625
2016/2017,9222,GENERAL,1
2016/2017,9222,HIGH SCHOOLS,0.060354
2016/2017,9222,METRO WATER DIST,0.0035
2016/2017,9223,COMMNTY COLLEGE,0.028083
2016/2017,9223,COUNTY,0
2016/2017,9223,ELEM SCHOOLS,0.065625
2016/2017,9223,GENERAL,1
2016/2017,9223,HIGH SCHOOLS,0.060354
2016/2017,9223,METRO WATER DIST,0.0035
2016/2017,9224,COMMNTY COLLEGE,0.028083
2016/2017,9224,COUNTY,0
2016/2017,9224,ELEM SCHOOLS,0.065625
2016/2017,9224,GENERAL,1
2016/2017,9224,HIGH SCHOOLS,0.060354
2016/2017,9224,METRO WATER DIST,0.0035
2016/2017,9225,COMMNTY COLLEGE,0.028083
2016/2017,9225,COUNTY,0
