SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#
MLS Listing,,Multi-Family (2-4 Unit),471 Harrison Ave,Claremont,CA,91711,625000,,,683 - Claremont,1737,9688,1927,1,360,,Active,,,http://www.redfin.com/CA/Claremont/471-Harrison-Ave-91711/home/7886615,CRMLS,PW17161819
MLS Listing,,Multi-Family (2-4 Unit),336 N Colorado Pl,Long Beach,CA,90814,780000,4,4,"2 - Belmont Heights, Alamitos Heights",1967,3657,1920,1,397,,Active,,,http://www.redfin.com/CA/Long-Beach/336-N-Colorado-Pl-90814/home/7608412,CRMLS,PW17161686
MLS Listing,,Multi-Family (2-4 Unit),753 Hoefner Ave,Los Angeles,CA,90022,759000,6,5,699 - Not Defined,3535,6666,1923,1,215,,Active,July-15-2017 2:00 PM,July-15-2017 6:00 PM,http://www.redfin.com/CA/East-Los-Angeles/753-Hoefner-Ave-90022/home/7433627,CRMLS,PW17161542
MLS Listing,,Multi-Family (2-4 Unit),10216 San Jose Ave,South Gate,CA,90280,505000,4,2,T4 - South Gate E of 710,1556,3664,1943,1,325,,Active,,,http://www.redfin.com/CA/South-Gate/10216-San-Jose-Ave-90280/home/7374943,CRMLS,PW17153534
MLS Listing,,Multi-Family (2-4 Unit),8604 San Miguel Ave,South Gate,CA,90280,525000,3,2,"T2 - Cudahy, SouthGate W of 710, HuntPk S of Flore",1204,5984,1928,1,436,,Active,,,http://www.redfin.com/CA/South-Gate/8604-San-Miguel-Ave-90280/home/7376905,CRMLS,PW17161126
MLS Listing,,Multi-Family (2-4 Unit),7808 S Western Ave,Los Angeles,CA,90047,235000,2,2,C36 - Metropolitan Southwest,840,2752,1952,1,280,,Active,,,http://www.redfin.com/CA/Los-Angeles/7808-S-Western-Ave-90047/home/7282335,CRMLS,SB17161280
MLS Listing,,Multi-Family (2-4 Unit),8995 Victoria Ave,South Gate,CA,90280,529000,4,2,"T2 - Cudahy, SouthGate W of 710, HuntPk S of Flore",1051,4628,1940,1,503,,Active,,,http://www.redfin.com/CA/South-Gate/8995-Victoria-Ave-90280/unit-A/home/7377532,CRMLS,DW17160212
MLS Listing,,Multi-Family (2-4 Unit),1550 N Marine Ave,Wilmington,CA,90744,549000,3,3,195 - West Wilmington,1985,6265,1930,1,277,,Active,,,http://www.redfin.com/CA/Los-Angeles/1550-N-Marine-Ave-90744/home/7678447,CRMLS,DW17161247
MLS Listing,,Multi-Family (2-4 Unit),1445 West 59th Pl,Los Angeles (City),CA,90047,550000,3,3,Los Angeles Southwest,1831,5042,1921,1,300,,Active,,,http://www.redfin.com/CA/Los-Angeles/1445-W-59th-Pl-90047/home/7270578,TheMLS,17-250814
MLS Listing,,Multi-Family (2-4 Unit),2814 West Avenue 34,Los Angeles (City),CA,90065,575000,3,2,Glassell Park,1700,5828,1924,1,338,,Active,,,http://www.redfin.com/CA/Los-Angeles/2814-West-Avenue-34-90065/home/7073018,TheMLS,17-251174
MLS Listing,,Multi-Family (2-4 Unit),2407 Harwood St,Los Angeles,CA,90031,899000,0,,671 - Silver Lake,2664,6001,1930,1,337,,Active,,,http://www.redfin.com/CA/Los-Angeles/2407-Harwood-St-90031/home/7068961,i-Tech MLS,317005558
MLS Listing,,Multi-Family (2-4 Unit),1909 Ripple St,Los Angeles,CA,90039,652500,4,3,699 - Not Defined,1000,5192,1924,2,653,,Active,,,http://www.redfin.com/CA/Los-Angeles/1909-Ripple-St-90039/home/7068031,CRMLS,EV17159466
MLS Listing,,Multi-Family (2-4 Unit),1718 Locust St,Pasadena,CA,91106,815000,0,,648 - Pasadena (SE),1808,8007,1924,2,451,,Active,,,http://www.redfin.com/CA/Pasadena/1718-Locust-St-91106/home/7198241,i-Tech MLS,317005616
MLS Listing,,Multi-Family (2-4 Unit),1352 W 37th Dr,Los Angeles,CA,90007,660000,4,2,699 - Not Defined,1572,4499,1920,2,420,,Active,,,http://www.redfin.com/CA/Los-Angeles/1352-W-37th-Dr-90007/home/6884860,CRMLS,DW17159215
MLS Listing,,Multi-Family (2-4 Unit),1776 E 109th Pl,Los Angeles,CA,90059,385000,3,2,WATT - Watts,1510,7651,1924,2,255,,Active,,,http://www.redfin.com/CA/Los-Angeles/1776-E-109th-Pl-90059/home/7314452,CRMLS,RS17160381
MLS Listing,,Multi-Family (2-4 Unit),160 West 76th St,Los Angeles (City),CA,90003,699950,9,4,Metropolitan South,3452,6301,1912,2,203,,Active,,,http://www.redfin.com/CA/Los-Angeles/160-W-76th-St-90003/home/7290203,TheMLS,17-250618
MLS Listing,,Multi-Family (2-4 Unit),1330 Sanford Ave,Wilmington,CA,90744,425000,4,2,East Wilmington,1633,5329,1932,2,260,,Active,,,http://www.redfin.com/CA/Los-Angeles/1330-Sanford-Ave-90744/home/7680633,TheMLS,17-248632
MLS Listing,,Multi-Family (2-4 Unit),1559 W 84th Pl,Los Angeles,CA,90047,290000,3,2,C36 - Metropolitan Southwest,1554,6745,1939,2,187,,Active,,,http://www.redfin.com/CA/Los-Angeles/1559-W-84th-Pl-90047/home/7292718,CRMLS,MB17160194
MLS Listing,,Multi-Family (2-4 Unit),607 W Century Blvd,Los Angeles,CA,90044,619999,8,4,C34 - Los Angeles Southwest,2332,5966,1964,2,266,,Active,,,http://www.redfin.com/CA/Los-Angeles/607-W-Century-Blvd-90044/unit-1/home/7306001,CRMLS,DW17159808
MLS Listing,,Multi-Family (2-4 Unit),2230 Branden St,Los Angeles (City),CA,90026,599000,4,2,Silver Lake/Echo Park,1783,7502,1906,2,336,,Active,July-16-2017 2:00 PM,July-16-2017 5:00 PM,http://www.redfin.com/CA/Los-Angeles/2230-Branden-St-90026/home/7057440,TheMLS,17-250886
MLS Listing,,Multi-Family (2-4 Unit),669 W 31st St,San Pedro,CA,90731,549900,4,3,181 - Point Fermin,1484,4998,1924,2,371,,Active,,,http://www.redfin.com/CA/Los-Angeles/669-W-31st-St-90731/home/7696251,CRMLS,SB17157636
MLS Listing,,Multi-Family (2-4 Unit),473 South Savannah St,Los Angeles (City),CA,90033,599000,4,4,Boyle Heights,2335,5840,1915,2,257,,Active,,,http://www.redfin.com/CA/Los-Angeles/473-S-Savannah-St-90033/home/6941908,TheMLS,17-250624
MLS Listing,,Multi-Family (2-4 Unit),7231 Dinwiddie St,Downey,CA,90241,729000,5,4,"D2 - Northwest Downey, N of Firestone, W of Downey",2677,14545,1956,2,272,,Active,,,http://www.redfin.com/CA/Downey/7231-Dinwiddie-St-90241/home/7388776,CRMLS,PW17159564
MLS Listing,,Multi-Family (2-4 Unit),1150 E Arrow,Upland,CA,91786,360000,3,2,690 - Upland,1611,8475,1930,2,223,,Active,,,http://www.redfin.com/CA/Upland/1150-E-Arrow-Hwy-91786/home/4008568,CRMLS,DW17159469
